,policy_nr_hashed,cluster
1060,0WKWAmX,3
1061,2LJ0gzB,3
1062,5rZ7o7q,0
1065,G2wAbnd,3
1070,K7wQ2yY,3
1076,VqxGKlg,0
1081,beaQeBG,3
1082,beaYK53,3
1086,lrz98po,3
1088,qvmzgAq,3
1089,vL9zLko,0
1091,ypg0p0W,3
1096,0WKoy9m,1
1103,8rZJkJj,1
1104,92ZEKdx,2
1105,92Zdjmx,1
1110,LAwzgKQ,1
1111,NWE8Lnm,0
1112,Olw3VLy,1
1113,Olw5pLE,1
1114,Olw68AE,1
1118,XrP0KXa,1
1119,XrP0VEZ,1
1120,XrP60QP,1
1124,eBOVvQX,1
1125,joJLRVO,1
1126,joJqOqG,1
1129,mWmAV8Z,2
1131,nAEgP7E,1
1132,oJmOOb6,0
1135,pjmxeEq,1
1139,wRmXjbV,0
1140,wRmjlqA,1
1141,wRmzY3A,1
1142,ypg0Bbq,1
1143,ypgj2Rl,0
1148,70NV9JY,1
1149,AoZE9mp,1
1152,JBw5kp7,0
1155,K7wvjrJ,1
1158,P8wgXNl,0
1160,Q6Y6Nkk,0
1162,WP06vqJ,0
1164,dByGAwe,3
1167,gjk5VwX,1
1168,joJRqKa,0
1172,kbdRZ3L,1
1173,lrzaayP,0
1175,mWmyJor,0
1177,rLm5mP0,1
1181,0WKOxq6,0
1182,5rZJOde,3
1190,JBwJoBJ,3
1197,R5W9aL0,3
1198,a6R56y2,3
1201,kbdbmrW,3
1208,nAE70oP,3
1209,nAEgAx2,3
1214,xamQagW,3
1222,NWE8VyY,1
1223,NWEgmx7,1
1225,VqxGEQQ,0
1226,WP0G2dk,1
1227,WP0PyeJ,0
1229,bea6wp3,2
1232,joJoX0G,1
1240,LAwLx36,3
1241,NWE8d0K,0
1242,Olwxg8G,3
1244,Vqx9vZQ,3
1257,3RdKEb9,0
1258,3RdRQpa,0
1259,3RdRVE9,1
1260,3RdRgoL,0
1263,5rZ7L7e,0
1264,6rYpjaV,1
1268,70NoA3o,1
1270,8rZre3E,1
1272,ByZApra,0
1273,E7wkBbX,1
1277,K7w5mAO,0
1278,K7wqVxJ,1
1279,LAwRq0E,0
1280,LAwqxWd,1
1283,VqxdPBL,1
1287,XrPExRn,1
1292,YvWY8pA,1
1294,ZLW6kW8,1
1299,beae6NY,1
1300,dBy9PG8,1
1301,eBOB5e7,0
1303,joJokXJ,1
1307,kbdbOlg,1
1308,lrz5Px0,1
1309,lrza8X8,1
1310,nAEAJxn,1
1313,rLmKYnj,1
1316,vL9Lkvo,0
1317,vL9dYbV,1
1318,vL9vRoV,1
1324,zPm2Pwo,1
1325,zPm8Eqd,1
1327,0WKWK2a,2
1329,3Rd927y,0
1330,3RdRkGY,0
1331,6rY0ryQ,2
1335,ByZANa7,1
1336,JBwJR0N,1
1338,NWEa0wY,0
1342,Q6YA2kN,0
1346,VqxGWBY,0
1351,vL9vAOX,2
1356,2LJVvQl,3
1357,2LJp7rK,0
1358,3RdR8GR,0
1359,3RdbqnA,0
1360,5rZ7OAG,0
1361,6rYrWL8,3
1362,AoZEjl6,3
1364,G2w526d,0
1367,JBwBbk6,3
1369,K7w7Gbx,3
1370,K7wLAeJ,3
1371,K7wvq9p,0
